open5gs-smf  | 2026-09-13T13:47:27.170244171Z Open5GS daemon v2.8.0
open5gs-smf  | 2026-09-13T13:47:38.331716862Z 09/13 13:47:38.331: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.23:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.331722702Z 09/13 13:47:38.331: [sbi] INFO: [nudm-uecm] NFService associated [a72fd00a-af79-41f1-b247-cb1aca3465d0] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.331744625Z 09/13 13:47:38.331: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.23:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.331860594Z 09/13 13:47:38.331: [sbi] INFO: [nudm-sdm] NFService associated [a72fd096-af79-41f1-b247-cb1aca3465d0] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.331867634Z 09/13 13:47:38.331: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.23:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.332308212Z 09/13 13:47:38.332: [sbi] INFO: [a77f245c-af79-41f1-9b43-3777ca09e805] (NRF-profile-get) NF registered (../lib/sbi/nf-sm.c:104)
open5gs-smf  | 2026-09-13T13:47:38.332445999Z 09/13 13:47:38.332: [sbi] INFO: [PCF] NFInstance associated [a77f245c-af79-41f1-9b43-3777ca09e805] (../lib/sbi/context.c:2498)
open5gs-smf  | 2026-09-13T13:47:38.332454448Z 09/13 13:47:38.332: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.25:80] (../lib/sbi/context.c:2503)
open5gs-smf  | 2026-09-13T13:47:38.332544876Z 09/13 13:47:38.332: [sbi] INFO: [npcf-am-policy-control] NFService associated [a7802bb8-af79-41f1-9b43-3777ca09e805] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.334139338Z 09/13 13:47:38.332: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.25:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.334166008Z 09/13 13:47:38.332: [sbi] INFO: [npcf-smpolicycontrol] NFService associated [a7803180-af79-41f1-9b43-3777ca09e805] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.334172044Z 09/13 13:47:38.332: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.25:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.334176952Z 09/13 13:47:38.332: [sbi] INFO: [npcf-policyauthorization] NFService associated [a78034e6-af79-41f1-9b43-3777ca09e805] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.334181333Z 09/13 13:47:38.332: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.25:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:47:38.334185933Z 09/13 13:47:38.333: [sbi] INFO: [a7f8a7fa-af79-41f1-ac4e-018b7eb13376] (NRF-profile-get) NF registered (../lib/sbi/nf-sm.c:104)
open5gs-smf  | 2026-09-13T13:47:38.334190420Z 09/13 13:47:38.333: [sbi] INFO: [AMF] NFInstance associated [a7f8a7fa-af79-41f1-ac4e-018b7eb13376] (../lib/sbi/context.c:2498)
open5gs-smf  | 2026-09-13T13:47:38.334195020Z 09/13 13:47:38.333: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.20:80] (../lib/sbi/context.c:2503)
open5gs-smf  | 2026-09-13T13:47:38.334199088Z 09/13 13:47:38.333: [sbi] INFO: [namf-comm] NFService associated [a7f96050-af79-41f1-ac4e-018b7eb13376] (../lib/sbi/context.c:2138)
open5gs-smf  | 2026-09-13T13:47:38.334203643Z 09/13 13:47:38.333: [sbi] INFO: Setup NF EndPoint(addr) [10.45.0.20:7777] (../lib/sbi/context.c:2141)
open5gs-smf  | 2026-09-13T13:48:21.972620666Z 09/13 13:48:21.972: [smf] INFO: [Added] Number of SMF-UEs is now 1 (../src/smf/context.c:1069)
open5gs-smf  | 2026-09-13T13:48:21.972650907Z 09/13 13:48:21.972: [smf] INFO: [Added] Number of SMF-Sessions is now 1 (../src/smf/context.c:3612)
open5gs-smf  | 2026-09-13T13:48:21.972754192Z 09/13 13:48:21.972: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.20:7777] (../src/smf/nsmf-handler.c:317)
open5gs-smf  | 2026-09-13T13:48:21.973036895Z 09/13 13:48:21.972: [sbi] INFO: [a72fa3e6-af79-41f1-b247-cb1aca3465d0] Setup NF Instance [type:UDM] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-13T13:48:22.033315941Z 09/13 13:48:22.032: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.23:7777] (../src/smf/nudm-handler.c:466)
open5gs-smf  | 2026-09-13T13:48:22.033351781Z 09/13 13:48:22.033: [sbi] INFO: [a77f245c-af79-41f1-9b43-3777ca09e805] Setup NF Instance [type:PCF] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-13T13:48:22.096326104Z 09/13 13:48:22.096: [smf] INFO: Setup NF EndPoint(addr) [10.45.0.25:7777] (../src/smf/npcf-handler.c:414)
open5gs-smf  | 2026-09-13T13:48:22.096352031Z 09/13 13:48:22.096: [smf] INFO: UE SUPI[imsi-001010000000001] DNN[internet] IPv4[10.45.1.2] IPv6[] (../src/smf/npcf-handler.c:647)
open5gs-smf  | 2026-09-13T13:48:22.097499586Z 09/13 13:48:22.097: [gtp] INFO: gtp_connect() [10.45.0.30]:2152 (../lib/gtp/path.c:60)
open5gs-smf  | 2026-09-13T13:48:22.101721516Z 09/13 13:48:22.101: [sbi] INFO: [a7f8a7fa-af79-41f1-ac4e-018b7eb13376] Setup NF Instance [type:AMF] (../lib/sbi/path.c:349)
open5gs-smf  | 2026-09-13T13:48:22.106550310Z 09/13 13:48:22.106: [sbi] INFO: [a72fa3e6-af79-41f1-b247-cb1aca3465d0] Setup NF Instance [type:UDM] (../lib/sbi/path.c:349)
